category,label,term_id,term_en,term_de,register,field,exp_field,source,tag_id
term,gestaffelt,term_0069,planimetric,gestaffelt,,Composition,exp_Composition,"Wölfflin, Heinrich (1915): Kunstgeschichtliche Grundbegriffe. Das Problem der Stilentwicklung in der neueren Kunst. Basel: Schwabe.",tag_0139
term,deep,term_0070,deep,tiefer Raum,,Composition,exp_Composition,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0140
term,tiefer Raum,term_0070,deep,tiefer Raum,,Composition,exp_Composition,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0141
term,low angle,term_0071,low angle,Untersicht,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0142
term,Untersicht,term_0071,low angle,Untersicht,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0143
field,Mise-en-cadre,,,,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0144
term,high angle,term_0072,high angle,Aufsicht,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0145
term,Aufsicht,term_0072,high angle,Aufsicht,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0146
term,framed,term_0073,framed,Rahmung,,Composition,exp_Composition,,tag_0147
term,Rahmung,term_0073,framed,Rahmung,,Composition,exp_Composition,,tag_0148
term,grid,term_0074,grid,"Gitter, Gitterwerk",,Composition,exp_Composition,"https://en.wikipedia.org/wiki/Latticework Koepf, Hans; Binding, Günther (2005): Bildwörterbuch der Architektur: Mit englischem, französischem, italienischem und spanischem Fachglossar. Stuttgart: Alfred Kröner Verlag.",tag_0149
term,"Gitter, Gitterwerk",term_0074,grid,"Gitter, Gitterwerk",,Composition,exp_Composition,"https://en.wikipedia.org/wiki/Latticework Koepf, Hans; Binding, Günther (2005): Bildwörterbuch der Architektur: Mit englischem, französischem, italienischem und spanischem Fachglossar. Stuttgart: Alfred Kröner Verlag.",tag_0150
term,window,term_0075,window,Fenster,,Composition,exp_Composition,"Christine N. Brinckmann (1997): Das Gesicht hinter der Scheibe. In: Die antropomorphe Kamera und andere Schriften zur filmischen Narration, Zürich: Chronos, pp. 200–213.",tag_0151
term,Fenster,term_0075,window,Fenster,,Composition,exp_Composition,"Christine N. Brinckmann (1997): Das Gesicht hinter der Scheibe. In: Die antropomorphe Kamera und andere Schriften zur filmischen Narration, Zürich: Chronos, pp. 200–213.",tag_0152
term,layers,term_0076,layers,Schichten,,Composition,exp_Composition,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0153
term,Schichten,term_0076,layers,Schichten,,Composition,exp_Composition,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0154
term,diffusion,term_0077,diffusion,Diffusion,,Composition,exp_Composition,,tag_0155
term,mirror,term_0078,mirror,Spiegel,,Composition,exp_Composition,,tag_0156
term,Spiegel,term_0078,mirror,Spiegel,,Composition,exp_Composition,,tag_0157
term,reflection,term_0079,reflection,Reflexion,,Composition,exp_Composition,,tag_0158
term,Reflexion,term_0079,reflection,Reflexion,,Composition,exp_Composition,,tag_0159
term,establishing shot,term_0080,establishing shot,Establishing Shot,,Mise-en-cadre,exp_Mise_en_cadre,"Lexikon der Filmbegriffe Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0160
term,long shot,term_0081,long shot,Totale,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0161
term,Totale,term_0081,long shot,Totale,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0162
term,medium,term_0082,medium,amerikanische Einstellung,,Mise-en-cadre,exp_Mise_en_cadre,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0163
term,amerikanische Einstellung,term_0082,medium,amerikanische Einstellung,,Mise-en-cadre,exp_Mise_en_cadre,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0164
term,medium close-up,term_0083,medium close-up,Nahe,,Mise-en-cadre,exp_Mise_en_cadre,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0165
term,Nahe,term_0083,medium close-up,Nahe,,Mise-en-cadre,exp_Mise_en_cadre,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0166
term,close-up,term_0084,close-up,Grossaufnahme,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0167
term,Grossaufnahme,term_0084,close-up,Grossaufnahme,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0168
term,choker close-up,term_0085,choker close-up,Extreme Grossaufnahme,,Mise-en-cadre,exp_Mise_en_cadre,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0169
term,Extreme Grossaufnahme,term_0085,choker close-up,Extreme Grossaufnahme,,Mise-en-cadre,exp_Mise_en_cadre,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0170
term,detail,term_0086,detail,Detailaufnahme,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0171
term,Detailaufnahme,term_0086,detail,Detailaufnahme,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0172
term,top shot,term_0087,top shot,Top Shot,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0173
term,over shoulder,term_0088,over shoulder,Over Shoulder,,Mise-en-cadre,exp_Mise_en_cadre,,tag_0174
term,shallow DOF,term_0089,shallow DOF,geringe Schärfentiefe,Depth of Field,Depth of Field,exp_Depth_of_Field,,tag_0175
term,geringe Schärfentiefe,term_0089,shallow DOF,geringe Schärfentiefe,Depth of Field,Depth of Field,exp_Depth_of_Field,,tag_0176
field,Depth of Field,,,,,Depth of Field,exp_Depth_of_Field,,tag_0177
register,Depth of Field,,,,Depth of Field,,,,tag_0178
term,middle DOF,term_0090,middle DOF,mittlere Schärfentiefe,,Depth of Field,exp_Depth_of_Field,,tag_0179
term,mittlere Schärfentiefe,term_0090,middle DOF,mittlere Schärfentiefe,,Depth of Field,exp_Depth_of_Field,,tag_0180
term,deep focus,term_0091,deep focus,grosse Schärfentiefe,,Depth of Field,exp_Depth_of_Field,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0181
term,grosse Schärfentiefe,term_0091,deep focus,grosse Schärfentiefe,,Depth of Field,exp_Depth_of_Field,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0182
term,rack focus,term_0092,rack focus,Schärfenverlagerung,,Depth of Field,exp_Depth_of_Field,"Smid, Tereza (2012): Poetik der Schärfenverlagerung. Marburg: Schüren. Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0183
term,Schärfenverlagerung,term_0092,rack focus,Schärfenverlagerung,,Depth of Field,exp_Depth_of_Field,"Smid, Tereza (2012): Poetik der Schärfenverlagerung. Marburg: Schüren. Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0184
term,motion blur,term_0093,motion blur,Bewegungsunschärfe,,Depth of Field,exp_Depth_of_Field,,tag_0185
term,Bewegungsunschärfe,term_0093,motion blur,Bewegungsunschärfe,,Depth of Field,exp_Depth_of_Field,,tag_0186
term,bokeh,term_0094,bokeh,Bokeh,,Depth of Field,exp_Depth_of_Field,siehe https://luminous-landscape.com/rediscover-understanding-bokeh/ für eine gute Zusammenfassung der optischen Grundlagen. Auch Abschnitt in Smid (2012: 41 f.),tag_0187
term,optical diffusion,term_0095,optical diffusion,optische Diffusion,,Depth of Field,exp_Depth_of_Field,,tag_0188
term,optische Diffusion,term_0095,optical diffusion,optische Diffusion,,Depth of Field,exp_Depth_of_Field,,tag_0189
term,Lighting Type,term_0096,Lighting Type,Beleuchtungstypus,Lighting,Lighting Type,,,tag_0190
term,Beleuchtungstypus,term_0096,Lighting Type,Beleuchtungstypus,Lighting,Lighting Type,,,tag_0191
field,Lighting Type,,,,,Lighting Type,,,tag_0192
register,Lighting,,,,Lighting,,,,tag_0193
term,high-key,term_0097,high-key,high-key,,Lighting Type,exp_Lighting_Type,,tag_0194
term,low-key,term_0098,low-key,low-key,,Lighting Type,exp_Lighting_Type,,tag_0195
term,chiaroscuro,term_0099,chiaroscuro,Chiaroscuro,,Lighting Type,exp_Lighting_Type,,tag_0196
term,modeling,term_0100,modeling,Modellierung,,Lighting Type,exp_Lighting_Type,,tag_0197
term,Modellierung,term_0100,modeling,Modellierung,,Lighting Type,exp_Lighting_Type,,tag_0198
term,uneven,term_0101,uneven,ungleichmässig,,Lighting Type,exp_Lighting_Type,,tag_0199
term,ungleichmässig,term_0101,uneven,ungleichmässig,,Lighting Type,exp_Lighting_Type,,tag_0200
term,key light,term_0102,key light,Führungslicht,,Lighting Scheme,exp_Lighting_Scheme,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017. Lexikon der Filmbegriffe (dt.)",tag_0201
term,Führungslicht,term_0102,key light,Führungslicht,,Lighting Scheme,exp_Lighting_Scheme,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017. Lexikon der Filmbegriffe (dt.)",tag_0202
field,Lighting Scheme,,,,,Lighting Scheme,exp_Lighting_Scheme,,tag_0203
term,fill light,term_0103,fill light,Aufhellung (NICHT Fülllicht!),,Lighting Scheme,exp_Lighting_Scheme,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0204
term,Aufhellung (NICHT Fülllicht!),term_0103,fill light,Aufhellung (NICHT Fülllicht!),,Lighting Scheme,exp_Lighting_Scheme,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0205
term,back light,term_0104,back light,Gegenlicht,,Lighting Scheme,exp_Lighting_Scheme,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0206
term,Gegenlicht,term_0104,back light,Gegenlicht,,Lighting Scheme,exp_Lighting_Scheme,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0207
term,sunshine,term_0105,sunshine,Sonnenschein,,Lighting Scheme,exp_Lighting_Scheme,,tag_0208
term,Sonnenschein,term_0105,sunshine,Sonnenschein,,Lighting Scheme,exp_Lighting_Scheme,,tag_0209
term,practical lights,term_0106,practical lights,diegetisches Licht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0210
term,diegetisches Licht,term_0106,practical lights,diegetisches Licht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0211
term,light change,term_0107,light change,Lichtwechsel,,Lighting Scheme,exp_Lighting_Scheme,,tag_0212
term,Lichtwechsel,term_0107,light change,Lichtwechsel,,Lighting Scheme,exp_Lighting_Scheme,,tag_0213
term,overcast sky,term_0108,overcast sky,bedeckter Himmel,,Lighting Scheme,exp_Lighting_Scheme,,tag_0214
term,bedeckter Himmel,term_0108,overcast sky,bedeckter Himmel,,Lighting Scheme,exp_Lighting_Scheme,,tag_0215
term,grazing light,term_0109,grazing light,Streiflicht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0216
term,Streiflicht,term_0109,grazing light,Streiflicht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0217
term,colored grazing light,term_0110,colored grazing light,farbiges Streiflicht,,Lighting Scheme,exp_Lighting_Scheme,"Flückiger, Barbara (2020): Spielformen der Figur/Grund-Interaktion im Farbfilm. Eine typologische Bestimmung. In: Montage AV, 29,2. S. 81–114, (= https://www.zora.uzh.ch/id/eprint/199217/), S. 105.",tag_0218
term,farbiges Streiflicht,term_0110,colored grazing light,farbiges Streiflicht,,Lighting Scheme,exp_Lighting_Scheme,"Flückiger, Barbara (2020): Spielformen der Figur/Grund-Interaktion im Farbfilm. Eine typologische Bestimmung. In: Montage AV, 29,2. S. 81–114, (= https://www.zora.uzh.ch/id/eprint/199217/), S. 105.",tag_0219
term,rim light,term_0111,rim light,Kanten,,Lighting Scheme,exp_Lighting_Scheme,,tag_0220
term,Kanten,term_0111,rim light,Kanten,,Lighting Scheme,exp_Lighting_Scheme,,tag_0221
term,caustics,term_0112,caustics,Kaustik,,Lighting Scheme,exp_Lighting_Scheme,,tag_0222
term,Kaustik,term_0112,caustics,Kaustik,,Lighting Scheme,exp_Lighting_Scheme,,tag_0223
term,spotlight,term_0113,spotlight,Scheinwerfer,,Lighting Scheme,exp_Lighting_Scheme,,tag_0224
term,Scheinwerfer,term_0113,spotlight,Scheinwerfer,,Lighting Scheme,exp_Lighting_Scheme,,tag_0225
term,candle,term_0114,candle,Kerze,,Lighting Scheme,exp_Lighting_Scheme,,tag_0226
term,Kerze,term_0114,candle,Kerze,,Lighting Scheme,exp_Lighting_Scheme,,tag_0227
term,fire,term_0115,fire,Feuer,,Lighting Scheme,exp_Lighting_Scheme,,tag_0228
term,Feuer,term_0115,fire,Feuer,,Lighting Scheme,exp_Lighting_Scheme,,tag_0229
term,neon sign,term_0116,neon sign,Leuchtreklame,,Lighting Scheme,exp_Lighting_Scheme,,tag_0230
term,Leuchtreklame,term_0116,neon sign,Leuchtreklame,,Lighting Scheme,exp_Lighting_Scheme,,tag_0231
term,neon light,term_0117,neon light,Neonlicht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0232
term,Neonlicht,term_0117,neon light,Neonlicht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0233
term,volumetric light,term_0118,volumetric light,volumetrisches Licht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0234
term,volumetrisches Licht,term_0118,volumetric light,volumetrisches Licht,,Lighting Scheme,exp_Lighting_Scheme,,tag_0235
term,lens flares,term_0119,lens flares,Lens Flares / Blendenflecke,,Lighting Scheme,exp_Lighting_Scheme,"Flückiger, Barbara (2008): Visual Effects. Filmbilder aus dem Computer. Marburg: Schüren, pp. 171, 350 ff.",tag_0236
term,Blendenflecke,term_0119,lens flares,Lens Flares / Blendenflecke,,Lighting Scheme,exp_Lighting_Scheme,"Flückiger, Barbara (2008): Visual Effects. Filmbilder aus dem Computer. Marburg: Schüren, pp. 171, 350 ff.",tag_0237
term,slow,term_0120,slow,langsam,Movement,Camera Movement,exp_Camera_Movement,,tag_0238
term,langsam,term_0120,slow,langsam,Movement,Camera Movement,exp_Camera_Movement,,tag_0239
field,Camera Movement,,,,,Camera Movement,exp_Camera_Movement,,tag_0240
register,Movement,,,,Movement,,,,tag_0241
term,fast,term_0121,fast,schnell,,Camera Movement,exp_Camera_Movement,,tag_0242
term,schnell,term_0121,fast,schnell,,Camera Movement,exp_Camera_Movement,,tag_0243
term,steady,term_0122,steady,gleichmässig,,Camera Movement,exp_Camera_Movement,,tag_0244
term,gleichmässig,term_0122,steady,gleichmässig,,Camera Movement,exp_Camera_Movement,,tag_0245
term,hectic,term_0123,hectic,hektisch,,Camera Movement,exp_Camera_Movement,,tag_0246
term,hektisch,term_0123,hectic,hektisch,,Camera Movement,exp_Camera_Movement,,tag_0247
term,tracking shot,term_0124,tracking shot,Kamerafahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0248
term,Kamerafahrt,term_0124,tracking shot,Kamerafahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0249
term,crane shot,term_0125,crane shot,Kranfahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0250
term,Kranfahrt,term_0125,crane shot,Kranfahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0251
term,pan,term_0126,pan,Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0252
term,Schwenk,term_0126,pan,Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0253
term,tilt,term_0127,tilt,vertikaler Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0254
term,vertikaler Schwenk,term_0127,tilt,vertikaler Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0255
term,handheld,term_0128,handheld,Handkamera,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0256
term,Handkamera,term_0128,handheld,Handkamera,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0257
term,jittery,term_0129,jittery,"nervös, verzittert",,Camera Movement,exp_Camera_Movement,,tag_0258
term,"nervös, verzittert",term_0129,jittery,"nervös, verzittert",,Camera Movement,exp_Camera_Movement,,tag_0259
term,Steadicam,term_0130,Steadicam,Steadicam,,Camera Movement,exp_Camera_Movement,,tag_0260
term,zoom,term_0131,zoom,Zoom,,Camera Movement,exp_Camera_Movement,,tag_0261
term,ride,term_0132,ride,Ride,,Camera Movement,exp_Camera_Movement,,tag_0262
term,flight,term_0133,flight,Flug,,Camera Movement,exp_Camera_Movement,,tag_0263
term,Flug,term_0133,flight,Flug,,Camera Movement,exp_Camera_Movement,,tag_0264
term,anthropomorphic,term_0134,anthropomorphic,anthropomorph,,Camera Movement,exp_Camera_Movement,,tag_0265
term,anthropomorph,term_0134,anthropomorphic,anthropomorph,,Camera Movement,exp_Camera_Movement,,tag_0266
term,technomorphic,term_0135,technomorphic,technomorph,,Camera Movement,exp_Camera_Movement,,tag_0267
term,technomorph,term_0135,technomorphic,technomorph,,Camera Movement,exp_Camera_Movement,,tag_0268
term,character-centered,term_0136,character-centered,figurenzentriert,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0269
term,figurenzentriert,term_0136,character-centered,figurenzentriert,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0270
term,reframing,term_0137,reframing,Korrektur der Cadrage,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0271
